2023-01-19 23:25:53.385 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.468 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.472 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.473 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.473 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.474 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.475 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.475 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.476 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.477 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.478 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.478 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.481 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.481 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
2023-01-19 23:25:53.482 [pool-3-thread-1] WARN  com.gargoylesoftware.htmlunit.css.CssStyleSheet - CSSValue '0' has to be a 'px', 'em', '%', 'ex', 'ch', 'vw', 'vh', 'vmin', 'vmax', 'rem', 'mm', 'cm', 'Q', or 'pt' value.
